id,fiscal_id,insert_date,cheque_date,store_name,buy_amount,cash_amount,cashless_amount,vat_amount,refund_amount,state,channel_type,cheque_status_message,with_card,card_cashback_amount
1893869612,PzStjztY7TBa,2025-07-08T19:17:53Z,2025-07-08T19:17:01Z,LOĞMAN KLİNİKASI,18.88,0.00,18.88,2.88,0.50,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1893041606,ADL7iGAdktwv,2025-07-07T23:12:54Z,2025-07-07T23:07:48Z,ARAZ MARKET,12.58,0.00,12.58,0.79,0.14,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1892484515,6enrCkMZDcbA,2025-07-07T15:21:25Z,2025-07-07T15:20:25Z,ARAZ MARKET,6.79,0.00,6.79,1.04,0.18,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1889546025,53kif7iNCYY5,2025-07-05T00:11:27Z,2025-07-05T00:05:41Z,ARAZ MARKET,27.73,0.00,27.73,4.23,0.74,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1888098108,D1qbiEP5WMNc,2025-07-03T21:17:11Z,2025-07-03T21:10:11Z,BAZARSTORE (AXUNDOV BAĞI),13.61,0.00,13.61,1.22,0.21,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1883121639,F9cRGizpb3PQ,2025-06-29T17:45:23Z,2025-06-29T17:36:15Z,ARAZ MARKET,6.50,0.00,6.50,0.89,0.16,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1882257239,6LzVZwiKB7To,2025-06-28T21:54:10Z,2025-06-28T21:39:03Z,ARAZ MARKET,10.23,10.23,0.00,1.56,0.08,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1882257121,4XcPQDhAvS4c,2025-06-28T21:54:04Z,2025-06-28T21:49:41Z,ARAZ MARKET,39.29,0.00,39.29,3.35,0.59,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1879906819,BPPBCAZ55eea,2025-06-26T21:51:49Z,2025-06-26T21:37:21Z,AXUNDOV BRAVO,12.77,0.00,3.26,1.95,0.09,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1879894770,E1JBfMgeuWiN,2025-06-26T21:43:20Z,2025-06-26T21:41:52Z,SPAR MARKET,33.92,0.00,33.92,5.17,0.90,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
